"","VAR","COU","PAR","IND","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue"
"67","FD_CO2","AUS","WLD","D41T98","P1Y","TONNE","6","2018",78.407
"68","FD_CO2","AUS","WLD","D45T98","P1Y","TONNE","6","2018",69.84
"69","FD_CO2","AUS","WLD","D58T82","P1Y","TONNE","6","2018",7.29
"70","FD_CO2","AUS","WLD","DINFO","P1Y","TONNE","6","2018",2.636
"71","FD_CO2","AUS","WLD","DMHH","P1Y","TONNE","6","2018",48.203
"72","FD_CO2","AUT","WLD","DTOTAL","P1Y","TONNE","6","2018",85.749
"73","FD_CO2","AUT","WLD","D01T03","P1Y","TONNE","6","2018",1.635
"74","FD_CO2","AUT","WLD","D01T02","P1Y","TONNE","6","2018",1.592
"75","FD_CO2","AUT","WLD","D03","P1Y","TONNE","6","2018",0.043
"76","FD_CO2","AUT","WLD","D05T09","P1Y","TONNE","6","2018",3.073
"77","FD_CO2","AUT","WLD","D05T06","P1Y","TONNE","6","2018",2.539
"78","FD_CO2","AUT","WLD","D07T08","P1Y","TONNE","6","2018",0.452
"79","FD_CO2","AUT","WLD","D09","P1Y","TONNE","6","2018",0.083
"80","FD_CO2","AUT","WLD","D10T33","P1Y","TONNE","6","2018",21.638
"81","FD_CO2","AUT","WLD","D10T12","P1Y","TONNE","6","2018",0.863
"82","FD_CO2","AUT","WLD","D13T15","P1Y","TONNE","6","2018",0.294
"83","FD_CO2","AUT","WLD","D16T18","P1Y","TONNE","6","2018",0.935
"84","FD_CO2","AUT","WLD","D16","P1Y","TONNE","6","2018",0.227
"85","FD_CO2","AUT","WLD","D17T18","P1Y","TONNE","6","2018",0.708
"86","FD_CO2","AUT","WLD","D19T23","P1Y","TONNE","6","2018",9.278
"87","FD_CO2","AUT","WLD","D19","P1Y","TONNE","6","2018",2.649
"88","FD_CO2","AUT","WLD","D20T21","P1Y","TONNE","6","2018",2.732
"89","FD_CO2","AUT","WLD","D20","P1Y","TONNE","6","2018",2.158
"90","FD_CO2","AUT","WLD","D21","P1Y","TONNE","6","2018",0.573
"91","FD_CO2","AUT","WLD","D22","P1Y","TONNE","6","2018",0.989
"92","FD_CO2","AUT","WLD","D23","P1Y","TONNE","6","2018",2.909
"93","FD_CO2","AUT","WLD","D24T25","P1Y","TONNE","6","2018",8.478
"94","FD_CO2","AUT","WLD","D24","P1Y","TONNE","6","2018",8.282
"95","FD_CO2","AUT","WLD","D25","P1Y","TONNE","6","2018",0.196
"96","FD_CO2","AUT","WLD","D26T27","P1Y","TONNE","6","2018",0.309
"97","FD_CO2","AUT","WLD","D26","P1Y","TONNE","6","2018",0.166
"98","FD_CO2","AUT","WLD","D27","P1Y","TONNE","6","2018",0.143
"99","FD_CO2","AUT","WLD","D28","P1Y","TONNE","6","2018",0.243
"100","FD_CO2","AUT","WLD","D29T30","P1Y","TONNE","6","2018",0.204
"101","FD_CO2","AUT","WLD","D29","P1Y","TONNE","6","2018",0.17
"102","FD_CO2","AUT","WLD","D30","P1Y","TONNE","6","2018",0.034
"103","FD_CO2","AUT","WLD","D31T33","P1Y","TONNE","6","2018",1.034
"104","FD_CO2","AUT","WLD","D35T39","P1Y","TONNE","6","2018",19.304
"105","FD_CO2","AUT","WLD","D35","P1Y","TONNE","6","2018",19.078
