"IND"
"DTOTAL"
"D01T03"
"D01T02"
"D03"
"D05T09"
"D05T06"
"D07T08"
"D09"
"D10T33"
"D10T12"
"D13T15"
"D16T18"
"D16"
"D17T18"
"D19T23"
"D19"
"D20T21"
"D20"
"D21"
"D22"
"D23"
"D24T25"
"D24"
"D25"
"D26T27"
"D26"
"D27"
"D28"
"D29T30"
"D29"
"D30"
"D31T33"
"D35T39"
"D35"
"D36T39"
"D41T43"
"D45T82"
"D45T56"
"D45T47"
"D49T53"
"D49"
"D50"
"D51"
"D52"
"D53"
"D55T56"
"D58T63"
"D58T60"
"D61"
"D62T63"
"D64T66"
"D68"
"D69T82"
"D69T75"
"D77T82"
"D84T98"
"D84T88"
"D84"
"D85"
"D86T88"
"D90T98"
"D90T96"
"D90T93"
"D94T96"
"D97T98"
"D05T39"
"D41T98"
"D45T98"
"D58T82"
"DINFO"
"DMHH"
"DTOTAL"
"D01T03"
"D01T02"
"D03"
"D05T09"
"D05T06"
"D07T08"
"D09"
"D10T33"
"D10T12"
"D13T15"
"D16T18"
"D16"
"D17T18"
"D19T23"
"D19"
"D20T21"
"D20"
"D21"
"D22"
"D23"
"D24T25"
"D24"
"D25"
"D26T27"
"D26"
"D27"
"D28"
"D29T30"
"D29"
"D30"
"D31T33"
"D35T39"
"D35"
"D36T39"
"D41T43"
"D45T82"
"D45T56"
"D45T47"
"D49T53"
"D49"
"D50"
"D51"
"D52"
"D53"
"D55T56"
"D58T63"
"D58T60"
"D61"
"D62T63"
"D64T66"
"D68"
"D69T82"
"D69T75"
"D77T82"
"D84T98"
"D84T88"
"D84"
"D85"
"D86T88"
"D90T98"
"D90T96"
"D90T93"
"D94T96"
"D97T98"
"D05T39"
"D41T98"
"D45T98"
"D58T82"
"DINFO"
"DMHH"
"DTOTAL"
"D01T03"
"D01T02"
"D03"
"D05T09"
"D05T06"
"D07T08"
"D09"
"D10T33"
"D10T12"
"D13T15"
"D16T18"
"D16"
"D17T18"
"D19T23"
"D19"
"D20T21"
"D20"
"D21"
"D22"
"D23"
"D24T25"
"D24"
"D25"
"D26T27"
"D26"
"D27"
"D28"
"D29T30"
"D29"
"D30"
"D31T33"
"D35T39"
"D35"
"D36T39"
"D41T43"
"D45T82"
"D45T56"
"D45T47"
"D49T53"
"D49"
"D50"
"D51"
"D52"
"D53"
"D55T56"
"D58T63"
"D58T60"
"D61"
"D62T63"
"D64T66"
"D68"
"D69T82"
"D69T75"
"D77T82"
"D84T98"
"D84T88"
"D84"
"D85"
"D86T88"
"D90T98"
"D90T96"
"D90T93"
"D94T96"
"D97T98"
"D05T39"
"D41T98"
"D45T98"
"D58T82"
"DINFO"
"DMHH"
"DTOTAL"
