"","x_region","East Asia & Pacific","Europe & Central Asia","Latin America & Caribbean","Middle East & North Africa","North America","South Asia","Sub-Saharan Africa"
"1","East Asia & Pacific",1440.426,512.95,164.008,52.661,525.684,157.73,17.399
"2","Europe & Central Asia",278.488,1066.868,43.825,51.559,141.165,30.405,5.668
"3","Latin America & Caribbean",80.252,38.946,30.432,3.349,127.326,8.831,0.905
"4","Middle East & North Africa",35.989,32.773,2.549,2.124,11.205,10.532,1.207
"5","North America",170.23,131.084,95.959,12.186,223.194,16.824,1.526
"6","South Asia",118.764,91.463,17.193,14.824,91.423,0,5.508
"7","Sub-Saharan Africa",72.537,26.566,2.045,1.874,12.562,5.87,0
